station_from_nlc,station_to_nlc,time,line
528,530,2,"District"
757,530,2,"District"
639,536,1,"District"
644,536,1,"District"
500,545,2,"District"
734,545,2,"District"
556,555,2.3,"District"
571,555,3.18,"District"
518,556,2.51,"District"
555,556,2,"District"
561,560,3.54,"District"
500,561,2,"District"
560,561,3,"District"
583,562,3.59,"District"
605,562,3.82,"District"
3092,562,3.94,"District"
755,562,3.24,"District"
760,562,3.3,"District"
514,566,3,"District"
739,566,2,"District"
678,567,2,"District"
705,567,2.5,"District"
670,774,2.5,"District"
555,571,3,"District"
610,571,2.5,"District"
724,542,2,"District"
761,542,2,"District"
672,581,2,"District"
755,581,1.5,"District"
562,583,2.65,"District"
708,583,2.01,"District"
621,591,3,"District"
734,591,3,"District"
516,593,1.5,"District"
682,593,2,"District"
562,605,3.12,"District"
663,605,3.36,"District"
571,610,2.5,"District"
737,610,2,"District"
562,3092,3,"District"
591,621,2.5,"District"
5570,621,3,"District"
521,639,1.52,"District"
536,639,1.5,"District"
528,642,1.5,"District"
715,642,2,"District"
536,644,1.5,"District"
731,644,1.5,"District"
517,663,2,"District"
605,663,2,"District"
517,670,2.01,"District"
774,670,2,"District"
581,672,2,"District"
678,672,2,"District"
739,676,2.01,"District"
757,676,2,"District"
567,678,2,"District"
672,678,2.5,"District"
593,682,2,"District"
713,682,1.5,"District"
621,5570,3.5,"District"
708,702,2,"District"
741,702,2,"District"
583,708,1.5,"District"
702,708,2.5,"District"
567,705,2.5,"District"
768,705,2,"District"
741,695,1.5,"District"
761,695,1.5,"District"
682,713,1.5,"District"
734,713,1.5,"District"
642,715,2,"District"
763,715,2,"District"
521,724,1.5,"District"
542,724,2,"District"
503,731,3.65,"District"
644,731,2.43,"District"
545,734,2.09,"District"
591,734,3.67,"District"
713,734,1.58,"District"
737,736,2.01,"District"
610,737,2,"District"
736,737,2.03,"District"
514,738,2.01,"District"
518,738,2.5,"District"
566,739,2.5,"District"
676,739,2,"District"
702,741,2,"District"
695,741,2,"District"
562,755,1.5,"District"
581,755,1.5,"District"
530,757,2,"District"
676,757,1.5,"District"
516,760,1.5,"District"
562,760,2,"District"
542,761,1.5,"District"
695,761,2,"District"
503,763,2.76,"District"
715,763,3.51,"District"
768,5578,3.08,"District"
705,768,2.51,"District"
5578,768,3,"District"
1039,788,1,"East London"
1083,788,1.5,"East London"
1083,5150,4.5,"East London"
1083,5345,3.5,"East London"
788,1039,1,"East London"
744,1039,1.5,"East London"
744,1082,1.5,"East London"
763,1082,2,"East London"
763,1024,2,"East London"
788,1083,2.09,"East London"
5150,1083,4,"East London"
5345,1083,3.5,"East London"
1039,744,1.5,"East London"
1082,744,1.5,"East London"
1082,763,2.17,"East London"
1024,763,2,"East London"
6562,5131,3,"Elizabeth"
560,3000,2,"Elizabeth"
670,524,3,"Elizabeth"
6879,6872,4,"Elizabeth"
3151,3176,2,"Elizabeth"
763,666,3,"Elizabeth"
6878,6874,2,"Elizabeth"
666,6964,3,"Elizabeth"
3188,560,2,"Elizabeth"
728,577,2,"Elizabeth"
9957,6876,2,"Elizabeth"
6886,6877,2,"Elizabeth"
6893,6878,2,"Elizabeth"
3187,3191,3,"Elizabeth"
6877,6879,3,"Elizabeth"
780,3186,5,"Elizabeth"
3174,3186,3,"Elizabeth"
781,780,4,"Elizabeth"
783,780,4,"Elizabeth"
6883,6881,2,"Elizabeth"
3171,3170,2,"Elizabeth"
3172,3171,3,"Elizabeth"
577,634,2,"Elizabeth"
3155,3147,6,"Elizabeth"
6876,6883,2,"Elizabeth"
719,9957,2,"Elizabeth"
3000,670,6,"Elizabeth"
6874,6886,3,"Elizabeth"
6881,6893,2,"Elizabeth"
6872,6888,5,"Elizabeth"
3176,3172,3,"Elizabeth"
3186,3187,3,"Elizabeth"
763,719,5,"Elizabeth"
3147,3151,3,"Elizabeth"
524,728,1,"Elizabeth"
3149,3155,5,"Elizabeth"
3170,3174,2,"Elizabeth"
3191,3188,2,"Elizabeth"
634,763,2,"Elizabeth"
6964,6562,4,"Elizabeth"
5131,6562,3,"Elizabeth"
3000,560,2,"Elizabeth"
524,670,3,"Elizabeth"
6872,6879,4,"Elizabeth"
3176,3151,2,"Elizabeth"
666,763,3,"Elizabeth"
6874,6878,2,"Elizabeth"
6964,666,3,"Elizabeth"
560,3188,2,"Elizabeth"
577,728,2,"Elizabeth"
6876,9957,2,"Elizabeth"
6877,6886,2,"Elizabeth"
6878,6893,2,"Elizabeth"
3191,3187,3,"Elizabeth"
6879,6877,3,"Elizabeth"
3186,780,5,"Elizabeth"
3186,3174,3,"Elizabeth"
780,781,4,"Elizabeth"
780,783,4,"Elizabeth"
6881,6883,2,"Elizabeth"
3170,3171,2,"Elizabeth"
3171,3172,3,"Elizabeth"
634,577,2,"Elizabeth"
3147,3155,6,"Elizabeth"
6883,6876,2,"Elizabeth"
9957,719,2,"Elizabeth"
670,3000,6,"Elizabeth"
6886,6874,3,"Elizabeth"
6893,6881,2,"Elizabeth"
6888,6872,5,"Elizabeth"
3172,3176,3,"Elizabeth"
3187,3186,3,"Elizabeth"
719,763,5,"Elizabeth"
3151,3147,3,"Elizabeth"
728,524,1,"Elizabeth"
3155,3149,5,"Elizabeth"
3174,3170,2,"Elizabeth"
3188,3191,2,"Elizabeth"
763,634,2,"Elizabeth"
6562,6964,4,"Elizabeth"
634,503,2.78,"H & C"
763,503,2.06,"H & C"
774,511,2.5,"H & C"
588,511,2.07,"H & C"
577,501,1.5,"H & C"
645,501,1.5,"H & C"
566,514,3.49,"H & C"
530,528,2.5,"H & C"
642,528,1.5,"H & C"
528,530,2,"H & C"
757,530,2,"H & C"
514,566,3.5,"H & C"
739,566,2,"H & C"
511,774,3.08,"H & C"
670,774,3.72,"H & C"
588,575,1.5,"H & C"
625,575,2,"H & C"
501,577,1.51,"H & C"
625,577,3.5,"H & C"
773,585,2,"H & C"
775,585,1,"H & C"
511,588,2,"H & C"
575,588,1.5,"H & C"
585,773,3.03,"H & C"
575,625,2,"H & C"
577,625,3.5,"H & C"
630,627,1.5,"H & C"
754,627,1.5,"H & C"
627,630,1.5,"H & C"
599,630,1.5,"H & C"
503,634,2.5,"H & C"
645,634,1.51,"H & C"
528,642,1.5,"H & C"
715,642,2,"H & C"
501,645,1.5,"H & C"
634,645,1.5,"H & C"
774,670,2,"H & C"
690,670,2,"H & C"
739,676,2.5,"H & C"
757,676,2.04,"H & C"
670,690,1.5,"H & C"
754,690,2,"H & C"
585,775,1.5,"H & C"
599,775,1.5,"H & C"
642,715,2,"H & C"
763,715,2,"H & C"
566,739,2,"H & C"
676,739,2,"H & C"
530,757,2,"H & C"
676,757,1.5,"H & C"
627,754,1.5,"H & C"
690,754,2,"H & C"
503,763,2.01,"H & C"
715,763,2.56,"H & C"
630,599,1.5,"H & C"
775,599,1.5,"H & C"
524,511,2.5,"Jubilee"
696,511,3.5,"Jubilee"
788,787,2,"Jubilee"
635,787,2.5,"Jubilee"
511,524,2.5,"Jubilee"
590,524,2.5,"Jubilee"
787,788,2,"Jubilee"
666,788,3,"Jubilee"
788,666,3.02,"Jubilee"
789,666,2.5,"Jubilee"
789,884,2.5,"Jubilee"
757,884,2.5,"Jubilee"
679,537,2.5,"Jubilee"
714,537,2,"Jubilee"
649,558,1.5,"Jubilee"
765,558,2,"Jubilee"
723,579,2,"Jubilee"
758,579,1.5,"Jubilee"
524,590,2.5,"Jubilee"
761,590,2.01,"Jubilee"
758,622,2,"Jubilee"
765,622,2,"Jubilee"
679,624,2,"Jubilee"
752,624,4,"Jubilee"
787,635,2.5,"Jubilee"
784,635,2.5,"Jubilee"
558,649,1.5,"Jubilee"
752,649,3.01,"Jubilee"
666,789,3.49,"Jubilee"
884,789,2.99,"Jubilee"
537,679,2.5,"Jubilee"
624,679,2,"Jubilee"
635,784,2,"Jubilee"
796,784,1,"Jubilee"
511,696,3.5,"Jubilee"
723,696,2,"Jubilee"
537,714,3.09,"Jubilee"
757,719,3.77,"Jubilee"
579,723,1.5,"Jubilee"
696,723,1.5,"Jubilee"
784,796,1.5,"Jubilee"
761,796,2,"Jubilee"
624,752,4.56,"Jubilee"
649,752,3.53,"Jubilee"
884,757,2.58,"Jubilee"
719,757,3.12,"Jubilee"
579,758,1.51,"Jubilee"
622,758,2,"Jubilee"
590,761,2.5,"Jubilee"
796,761,2.01,"Jubilee"
558,765,2.14,"Jubilee"
622,765,2.22,"Jubilee"
634,502,2.2,"Metropolitan"
539,506,4,"Metropolitan"
579,511,6.4,"Metropolitan"
588,511,3.82,"Metropolitan"
577,501,1.5,"Metropolitan"
645,501,1.5,"Metropolitan"
506,539,4,"Metropolitan"
543,539,8.5,"Metropolitan"
546,539,4.5,"Metropolitan"
539,543,8.5,"Metropolitan"
539,546,4,"Metropolitan"
687,546,4,"Metropolitan"
646,554,4.5,"Metropolitan"
748,554,3,"Metropolitan"
683,564,2.5,"Metropolitan"
693,564,2,"Metropolitan"
588,575,1.5,"Metropolitan"
625,575,2,"Metropolitan"
501,577,1.5,"Metropolitan"
625,577,3.5,"Metropolitan"
511,579,5.51,"Metropolitan"
598,579,11.5,"Metropolitan"
752,579,7.52,"Metropolitan"
511,588,2,"Metropolitan"
575,588,1.5,"Metropolitan"
579,598,11,"Metropolitan"
646,598,10,"Metropolitan"
656,598,4.49,"Metropolitan"
660,598,3.03,"Metropolitan"
759,598,4,"Metropolitan"
615,606,2,"Metropolitan"
740,606,3,"Metropolitan"
606,615,2,"Metropolitan"
691,615,2.5,"Metropolitan"
575,625,2,"Metropolitan"
577,625,3.5,"Metropolitan"
502,634,2.38,"Metropolitan"
645,634,1.53,"Metropolitan"
554,646,4,"Metropolitan"
598,646,9.5,"Metropolitan"
661,646,3,"Metropolitan"
687,646,4.5,"Metropolitan"
501,645,1.5,"Metropolitan"
634,645,1.5,"Metropolitan"
598,656,3,"Metropolitan"
675,656,2.5,"Metropolitan"
598,660,2,"Metropolitan"
677,660,2.5,"Metropolitan"
646,661,3,"Metropolitan"
662,661,2.5,"Metropolitan"
661,662,2.5,"Metropolitan"
675,662,2.5,"Metropolitan"
656,675,2.5,"Metropolitan"
662,675,2.5,"Metropolitan"
660,677,2,"Metropolitan"
752,677,2.5,"Metropolitan"
564,683,3,"Metropolitan"
759,683,2.5,"Metropolitan"
546,687,4.58,"Metropolitan"
646,687,5,"Metropolitan"
615,691,2.5,"Metropolitan"
693,691,1.5,"Metropolitan"
564,693,2,"Metropolitan"
